track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seg,genre,positividad
3dD1H5ick5Txfngx7hje7X,HOOP HOOP,Trueno,51,0.482,0.894,2,-3.595,1,0.11,0.4,0.0,0.729,0.392,91.303,157.325,1,0.22321714017439861
1iEv1uCSDTN7YotFX4iHB9,FUCK EL POLICE,Trueno,54,0.594,0.786,10,-4.327,0,0.369,0.313,0.0,0.1,0.113,90.837,157.554,1,0.2308244793135806
3lkiTKxSDxOqZkQnf9FUEo,ARGENTINA,Trueno,58,0.575,0.67,4,-5.656,0,0.375,0.824,0.0,0.251,0.362,174.211,233.214,1,0.2786599836557196
73zQG7t3tZDyePEflVSqJJ,TIERRA ZANTA,Trueno,59,0.565,0.807,1,-5.413,0,0.274,0.547,0.0,0.421,0.31,104.777,237.658,1,0.20507331644662713
6egwHn0qyQH7HCFu4APhmk,UN PASO,Trueno,0,0.778,0.853,2,-3.455,1,0.0748,0.249,0.0,0.0932,0.533,92.959,192.143,1,0.21934005740134133
4SqkNvM7s9a7a1JDfUOnpD,BUENOS AIRES EN LLAMAS,Trueno,57,0.54,0.563,8,-6.34,1,0.0623,0.889,5.07e-06,0.169,0.248,116.429,156.813,1,0.11417965339380795
0BwaLL2rwSNwZevRG2iNYS,MANIFIESTO FREESTYLE,Trueno,46,0.628,0.634,1,-7.352,1,0.325,0.815,1.4e-05,0.0781,0.569,95.096,162.168,1,0.14688049164897157
5NtIprYDaflAuu3Pko0rjR,DANCE CRIP,Trueno,71,0.857,0.766,0,-3.699,1,0.0978,0.108,0.0,0.0817,0.864,106.024,165.019,1,0.2926027220092966
0qhynIDQPUYENhtIQ3TUyE,SOLO POR VOS,Trueno,72,0.696,0.524,10,-8.15,0,0.141,0.754,5.11e-05,0.103,0.628,86.963,199.826,1,0.1184227330594211
172q4m6vcpzI796P5pXCjN,LO TENGO,Trueno,0,0.755,0.532,11,-12.105,0,0.311,0.301,0.0,0.351,0.886,99.028,163.636,1,0.4562478569526419
1sDM6RyofDWeLLLS6SJzYc,PANAMA,Trueno,63,0.723,0.569,4,-7.173,0,0.0437,0.403,3.2e-05,0.146,0.268,128.073,171.15,1,0.09625165298099606
3qukYaYSxIUBcq5UIUIsPf,FEEL ME??,Trueno,71,0.733,0.568,1,-5.987,1,0.0462,0.341,0.0,0.232,0.502,123.079,187.332,1,0.3230071088021653
2jPufm4Nf3JVe0fdLXA67A,JUNGLE,Trueno,57,0.663,0.784,9,-4.295,1,0.0856,0.352,0.0,0.0996,0.83,172.02,163.314,1,0.3060480463127249
0OdCEO0Fo21WQ1OitZEjjp,HOOD,Trueno,60,0.66,0.524,5,-6.692,0,0.0368,0.859,3.83e-06,0.414,0.881,89.969,152.471,1,0.13783147357025471
4n0MBJuHpZ9dnD1BtsOIxB,BIEN O MAL,Trueno,69,0.75,0.64,1,-4.992,0,0.0493,0.52,0.000102,0.122,0.618,88.982,176.629,1,0.15261909751043176
